experiment,seed,control,treatment,difference_treatment_minus_control,primary_metric,direction
emg_multihop,30541,0.6545454545454545,1.0,0.34545454545454546,multihop_accuracy,greater
emg_multihop,30594,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,30647,0.7090909090909091,1.0,0.2909090909090909,multihop_accuracy,greater
emg_multihop,30700,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,30753,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,30806,0.6363636363636364,1.0,0.36363636363636365,multihop_accuracy,greater
emg_multihop,30859,0.5636363636363636,1.0,0.4363636363636364,multihop_accuracy,greater
emg_multihop,30912,0.6909090909090909,1.0,0.3090909090909091,multihop_accuracy,greater
emg_multihop,30965,0.6727272727272727,1.0,0.32727272727272727,multihop_accuracy,greater
emg_multihop,31018,0.5272727272727272,1.0,0.4727272727272728,multihop_accuracy,greater
emg_multihop,31071,0.6363636363636364,1.0,0.36363636363636365,multihop_accuracy,greater
emg_multihop,31124,0.5636363636363636,1.0,0.4363636363636364,multihop_accuracy,greater
emg_multihop,31177,0.5454545454545454,1.0,0.4545454545454546,multihop_accuracy,greater
emg_multihop,31230,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,31283,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,31336,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,31389,0.6727272727272727,1.0,0.32727272727272727,multihop_accuracy,greater
emg_multihop,31442,0.6181818181818182,1.0,0.38181818181818183,multihop_accuracy,greater
emg_multihop,31495,0.6363636363636364,1.0,0.36363636363636365,multihop_accuracy,greater
emg_multihop,31548,0.6181818181818182,1.0,0.38181818181818183,multihop_accuracy,greater
emg_multihop,31601,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,31654,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,31707,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,31760,0.5636363636363636,1.0,0.4363636363636364,multihop_accuracy,greater
emg_multihop,31813,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,31866,0.6909090909090909,1.0,0.3090909090909091,multihop_accuracy,greater
emg_multihop,31919,0.6181818181818182,1.0,0.38181818181818183,multihop_accuracy,greater
emg_multihop,31972,0.5636363636363636,1.0,0.4363636363636364,multihop_accuracy,greater
emg_multihop,32025,0.7454545454545455,1.0,0.2545454545454545,multihop_accuracy,greater
emg_multihop,32078,0.7272727272727273,1.0,0.2727272727272727,multihop_accuracy,greater
emg_multihop,32131,0.6909090909090909,1.0,0.3090909090909091,multihop_accuracy,greater
emg_multihop,32184,0.6909090909090909,1.0,0.3090909090909091,multihop_accuracy,greater
emg_multihop,32237,0.6181818181818182,1.0,0.38181818181818183,multihop_accuracy,greater
emg_multihop,32290,0.6727272727272727,1.0,0.32727272727272727,multihop_accuracy,greater
emg_multihop,32343,0.7272727272727273,1.0,0.2727272727272727,multihop_accuracy,greater
emg_multihop,32396,0.5636363636363636,1.0,0.4363636363636364,multihop_accuracy,greater
emg_multihop,32449,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,32502,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,32555,0.6727272727272727,1.0,0.32727272727272727,multihop_accuracy,greater
emg_multihop,32608,0.6363636363636364,1.0,0.36363636363636365,multihop_accuracy,greater
emg_multihop,32661,0.6909090909090909,1.0,0.3090909090909091,multihop_accuracy,greater
emg_multihop,32714,0.6909090909090909,1.0,0.3090909090909091,multihop_accuracy,greater
emg_multihop,32767,0.5636363636363636,1.0,0.4363636363636364,multihop_accuracy,greater
emg_multihop,32820,0.6,1.0,0.4,multihop_accuracy,greater
emg_multihop,32873,0.6727272727272727,1.0,0.32727272727272727,multihop_accuracy,greater
emg_multihop,32926,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,32979,0.5818181818181818,1.0,0.4181818181818182,multihop_accuracy,greater
emg_multihop,33032,0.7272727272727273,1.0,0.2727272727272727,multihop_accuracy,greater
emg_multihop,33085,0.7090909090909091,1.0,0.2909090909090909,multihop_accuracy,greater
emg_multihop,33138,0.6,1.0,0.4,multihop_accuracy,greater
dream_consolidation,30011,1037.0,120.0,-917.0,retained_records,less
dream_consolidation,30064,1048.0,121.0,-927.0,retained_records,less
dream_consolidation,30117,993.0,122.0,-871.0,retained_records,less
